No.	Time	Source	Destination	Protocol	Length	Info
8018	46.031287800	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
8019	46.031289300	162.254.198.101	192.168.50.145	UDP	1086	27028 → 47488 Len=1044
8020	46.039275100	192.168.50.145	162.254.198.101	UDP	886	47488 → 27028 Len=844
8032	46.046136200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
8033	46.046349500	162.254.198.101	192.168.50.145	UDP	122	27028 → 47488 Len=80
8035	46.054474600	192.168.50.145	162.254.198.101	UDP	875	47488 → 27028 Len=833
8036	46.062151000	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
8037	46.062152000	162.254.198.101	192.168.50.145	UDP	230	27028 → 47488 Len=188
8038	46.070472600	192.168.50.145	162.254.198.101	UDP	899	47488 → 27028 Len=857
8039	46.077770500	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
8040	46.077771400	162.254.198.101	192.168.50.145	UDP	216	27028 → 47488 Len=174
8041	46.085972700	192.168.50.145	162.254.198.101	UDP	901	47488 → 27028 Len=859
8042	46.093724200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
8044	46.093818800	162.254.198.101	192.168.50.145	UDP	1193	27028 → 47488 Len=1151
8045	46.102495500	192.168.50.145	162.254.198.101	UDP	899	47488 → 27028 Len=857
8046	46.108898600	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
